E,1.509949
W,1.845978
E,2.173981
W,2.708496
W,3.188416
Q,3.394997
B,9.420441
V,9.532593
B,9.628525
V,9.756989
E,9.758881
B,9.820663
E,9.845764
V,9.941162
B,9.980469
W,10.142
V,10.15654
W,10.16635
Q,10.61092
B,10.71623
E,10.81439
E,10.82986
V,10.9088
B,11.02873
V,11.14839
B,11.20447
W,11.27899
V,11.35657
B,11.42874
V,11.53244
W,11.59766
B,11.90025
V,11.98877
B,12.10086
V,12.16454
B,12.26085
V,12.44447
B,12.52548
V,12.68535
B,12.76529
V,13.06065
B,13.13235
V,13.26115
B,13.31636
E,13.38245
V,13.45239
B,13.48448
E,13.5415
V,13.61276
