C,6.827911
X,7.075897
C,7.196442
X,7.315735
C,7.388824
X,7.524963
Y,7.625488
C,8.132965
X,8.221283
C,8.315948
X,8.444672
C,8.49234
X,8.643951
C,8.708191
C,8.884766
X,8.940979
C,9.07605
X,9.156281
C,9.26825
X,9.355988
C,9.452393
X,9.556915
C,9.636597
X,9.748932
C,9.811798
X,9.956757
C,9.980255
X,10.15668
C,10.15668
C,10.33292
X,10.41245
X,10.61319
C,10.94794
X,11.08386
C,11.14053
X,11.30923
C,11.39651
X,11.58051
C,11.67682
X,11.77173
C,11.84393
X,11.98038
C,12.01993
C,12.2446
X,12.4126
C,12.4599
X,12.58099
C,12.66846
X,12.78116
C,12.86102
X,12.97211
C,15.99646
X,16.16516
C,16.16516
C,16.31638
X,16.35709
C,16.48395
X,16.5401
X,16.71591
C,19.81332
X,19.90802
C,19.99643
X,20.10815
C,20.17313
X,20.30051
C,20.42865
X,20.57327
C,20.62799
X,20.74789
C,20.80511
X,20.94092
C,20.97183
X,21.13269
C,21.13269
X,21.3248
C,21.3248
X,21.51608
C,21.853
X,21.88412
C,22.04437
X,22.11609
C,22.24493
X,22.28494
C,36.16516
X,36.26892
C,36.34943
X,36.47635
C,36.52414
X,36.66028
C,36.70831
X,36.85242
C,36.88449
X,37.02084
C,37.06812
X,37.20483
C,37.25262
X,37.38919
C,37.74786
X,37.85217
X,38.06854
C,38.08405
X,38.27646
C,38.31638
X,38.48392
C,38.51624
X,38.7179
C,38.7179
X,38.94141
C,38.94141
X,39.16489
C,39.19604
X,39.37305
C,39.7012
X,39.83694
C,39.90118
X,40.03589
C,40.76382
X,40.8205
C,40.95612
X,41.02856
C,41.17212
X,41.2518
C,41.38852
X,41.46887
C,41.70026
X,41.77228
C,41.88535
X,41.97266
C,42.05307
X,42.17328
C,42.27628
X,42.62088
