E,0.6717987
V,0.6816006
E,1.015427
W,1.351929
B,13.56085
V,13.60825
B,13.73737
V,13.86566
B,13.90079
B,13.91309
V,14.0296
V,14.09952
B,14.10242
B,14.18564
V,14.28983
V,14.29391
B,14.35678
B,14.38544
V,14.51221
B,14.55643
V,14.59677
B,14.65714
V,14.75635
V,14.76105
B,14.8125
B,14.86456
V,14.94153
V,14.94452
B,26.49643
V,26.5462
B,26.66547
V,26.7374
B,26.83273
V,26.95398
B,27.00983
V,27.19287
B,27.61691
V,27.70502
B,27.80917
V,27.92108
B,28.00079
V,28.13757
B,28.18546
V,28.36966
B,28.40854
V,28.55368
B,28.60101
V,28.73651
B,28.7858
V,28.91248
Q,30.29523
Q,31.95648
V,43.83316
B,43.83316
B,44.01648
V,44.08054
B,44.20889
V,44.2977
B,44.46567
V,44.51373
V,44.72049
B,44.72916
B,44.90463
V,44.93637
B,45.1055
V,45.14493
V,45.32141
B,45.33716
V,45.5051
U,45.90399
B,46.07321
V,46.1293
B,46.62454
V,46.72876
B,46.81689
V,46.93851
B,47.05698
V,47.16037
B,47.26547
V,47.37659
B,47.49634
V,47.54446
V,47.80063
B,47.90436
V,48.04947
B,48.08966
V,48.2485
B,48.27325
V,48.43353
B,48.48911
V,48.62457
B,48.69043
V,48.78464
