V,0.6816006
E,1.03315
E,1.432747
W,1.721252
B,17.24568
V,17.29466
B,17.43718
V,17.52637
B,17.63826
V,17.77376
B,17.87773
V,17.97432
B,18.23891
V,18.31013
B,18.50194
V,18.61488
Q,30.29523
B,31.77641
V,32.01653
B,32.51987
V,32.57735
B,32.73598
V,32.79584
B,32.93633
V,32.97626
V,33.20784
B,33.23178
V,33.40038
B,33.49603
V,33.63181
B,33.72054
V,33.83987
B,33.99316
V,34.07336
B,34.23306
V,34.30377
B,34.45679
V,34.52827
B,34.67178
V,34.79254
B,34.88194
V,34.99278
B,35.13705
V,35.25652
Q,36.36365
U,46.33657
